,precision,recall,f1-score,support
0.0,0.7729468599033816,0.7511737089201878,0.7619047619047618,213.0
1.0,0.8058608058608059,0.8239700374531835,0.8148148148148148,267.0
accuracy,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666
macro avg,0.7894038328820938,0.7875718731866856,0.7883597883597883,480.0
weighted avg,0.7912552423421989,0.7916666666666666,0.7913359788359787,480.0
