,precision,recall,f1-score,support
4,0.0,0.0,0.0,15.0
5,0.6842105263157895,0.7262569832402235,0.7046070460704607,179.0
6,0.61,0.6815642458100558,0.6437994722955145,179.0
7,0.6521739130434783,0.5172413793103449,0.576923076923077,58.0
8,0.0,0.0,0.0,5.0
accuracy,0.6467889908256881,0.6467889908256881,0.6467889908256881,0.6467889908256881
macro avg,0.38927688787185355,0.38501252167212485,0.38506591905781046,436.0
weighted avg,0.6180958054290093,0.6467889908256881,0.6303355624978165,436.0
